"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 05 20:30:47 GMT 2021","Wed May 05 20:30:47 GMT 2021","0","test","allure_parametrized_test","","","","test_allure_parametrized_test [First name]",""
"passed","Wed May 05 20:30:47 GMT 2021","Wed May 05 20:30:47 GMT 2021","2","test","allure_attachments_test","","","","test_attach",""
"passed","Wed May 05 20:30:47 GMT 2021","Wed May 05 20:30:47 GMT 2021","0","test","allure_labels_test","","","","test_allure_custom_labels",""
"passed","Wed May 05 20:30:47 GMT 2021","Wed May 05 20:30:47 GMT 2021","0","test","allure_labels_test","","","","test_allure_bdd_labels",""
"passed","Wed May 05 20:30:47 GMT 2021","Wed May 05 20:30:47 GMT 2021","0","test","allure_description_test","","","","test_dynamic_description","
    Initial test description
    
 This is dynamic description part: 4"
"passed","Wed May 05 20:30:47 GMT 2021","Wed May 05 20:30:47 GMT 2021","1","test","allure_status_test","","","","test_passed",""
"passed","Wed May 05 20:30:47 GMT 2021","Wed May 05 20:30:47 GMT 2021","0","test","allure_status_test","","","","test_xpass",""
"passed","Wed May 05 20:30:47 GMT 2021","Wed May 05 20:30:47 GMT 2021","1","test","allure_labels_test","","","","test_allure_severity",""
"skipped","Wed May 05 20:30:47 GMT 2021","Wed May 05 20:30:47 GMT 2021","0","test","allure_status_test","","","","test_skipped",""
"passed","Wed May 05 20:30:47 GMT 2021","Wed May 05 20:30:47 GMT 2021","0","test","allure_links_test","","","","test_allure_links",""
"passed","Wed May 05 20:30:47 GMT 2021","Wed May 05 20:30:47 GMT 2021","0","test","allure_labels_test","","","","test_dynamic_labels",""
"failed","Wed May 05 20:30:47 GMT 2021","Wed May 05 20:30:47 GMT 2021","0","test","allure_status_test","","","","test_failed",""
"passed","Wed May 05 20:30:47 GMT 2021","Wed May 05 20:30:47 GMT 2021","0","test","allure_parametrized_test","","","","test_allure_parametrized_fixture[first]",""
"skipped","Wed May 05 20:30:47 GMT 2021","Wed May 05 20:30:47 GMT 2021","0","test","allure_status_test","","","","test_xfail",""
"passed","Wed May 05 20:30:47 GMT 2021","Wed May 05 20:30:47 GMT 2021","0","test","allure_fullname_test","","","","test_fullname",""
"passed","Wed May 05 20:30:47 GMT 2021","Wed May 05 20:30:47 GMT 2021","1","test","allure_labels_test","","","","test_allure_id",""
"passed","Wed May 05 20:30:47 GMT 2021","Wed May 05 20:30:47 GMT 2021","0","test","pytest_quick_start_test","","","","test_allure_simple_test displayName",""
"passed","Wed May 05 20:30:47 GMT 2021","Wed May 05 20:30:47 GMT 2021","0","Custom parent suite","Custom suite","Custom sub suite","","","test_allure_suites",""
"passed","Wed May 05 20:30:47 GMT 2021","Wed May 05 20:30:47 GMT 2021","1","test","allure_description_test","","","","test_docstring_description","
    This is a test docstring
    It's will be shown as an allure test description
    Scenario:
     - pass
    "
"passed","Wed May 05 20:30:47 GMT 2021","Wed May 05 20:30:47 GMT 2021","0","test","allure_parametrized_test","","","","test_allure_parametrized_fixture[second]",""
"passed","Wed May 05 20:30:47 GMT 2021","Wed May 05 20:30:47 GMT 2021","0","test","allure_labels_test","","","","test_allure_tags",""
"passed","Wed May 05 20:30:47 GMT 2021","Wed May 05 20:30:47 GMT 2021","0","test","allure_links_test","","","","test_allure_dynamic_links",""
"passed","Wed May 05 20:30:47 GMT 2021","Wed May 05 20:30:47 GMT 2021","0","test","allure_description_test","","","","test_decorated_html_description",""
"passed","Wed May 05 20:30:47 GMT 2021","Wed May 05 20:30:47 GMT 2021","1","test","allure_fixture_test","","","","test_allure_fixture_with_finalizer",""
"passed","Wed May 05 20:30:47 GMT 2021","Wed May 05 20:30:47 GMT 2021","0","test","allure_fixture_test","","","","test_with_fixture_title",""
"passed","Wed May 05 20:30:47 GMT 2021","Wed May 05 20:30:47 GMT 2021","0","test","allure_step_test","","","","test_step",""
"passed","Wed May 05 20:30:47 GMT 2021","Wed May 05 20:30:47 GMT 2021","0","test","allure_description_test","","","","test_decorated_description","
This is test description from decorator

Scenario:
  - pass
  "
"passed","Wed May 05 20:30:47 GMT 2021","Wed May 05 20:30:47 GMT 2021","0","test","allure_fixture_test","","","","test_allure_yield_fixture",""
"passed","Wed May 05 20:30:47 GMT 2021","Wed May 05 20:30:47 GMT 2021","0","test","allure_links_test","","","","test_link_templates",""
"passed","Wed May 05 20:30:47 GMT 2021","Wed May 05 20:30:47 GMT 2021","0","test","allure_parametrized_test","","","","test_allure_parametrized_test [Second name]",""
"passed","Wed May 05 20:30:47 GMT 2021","Wed May 05 20:30:47 GMT 2021","0","test","allure_labels_test","","","","test_owner",""
"broken","Wed May 05 20:30:47 GMT 2021","Wed May 05 20:30:47 GMT 2021","0","test","allure_status_test","","","","test_broken",""
